global_object_id,field_id,mean_ra,mean_dcl,sigma_ra,sigma_dcl,n_epochs,flux_u,sigma_flux_u,flux_v,sigma_flux_v,flux_g,sigma_flux_g,flux_r,sigma_flux_r,flux_i,sigma_flux_i,flux_z,sigma_flux_z
81088,1,1.87151891193504,-1.41183107,0.0022749344,0.0020981252,3,12.170673,0.42617995,12.170673,0.42617995,59.867596,0.98569113,99.213768,1.4834248,122.17351,2.3530064,132.17104,2.4101634
81152,1,2.46537137016799,-2.00153652,0.0020582112,0.0018356561,3,8.0430098,0.41248685,8.0430098,0.41248685,82.421379,0.78760374,262.29129,3.6002915,411.24701,4.6627269,555.45203,9.1097507
81472,1,1.31657993892851,-1.96109882,0.0060720281,0.00567604,3,3.458966,0.36359176,3.458966,0.36359176,22.054424,0.45940074,52.906105,0.94598657,75.513054,1.7941066,92.466942,1.9799496
81728,1,2.48337780758455,-1.34349077,0.0029711945,0.002630942,3,25.398214,0.5570311,25.398214,0.5570311,56.078476,0.93807596,71.334396,0.92583746,75.550117,1.6942291,75.31572,1.6785637
81984,1,2.04650837039467,-1.49876518,8.7349745E-4,8.2150311E-4,3,23.61973,0.62373286,23.61973,0.62373286,225.95656,3.6290767,594.42566,8.6746874,867.85864,16.43161,1058.4846,16.52516
19200,1,0.0364658084265828,-1.79547897,0.059019908,0.05465002,3,115.09859,1.8382292,115.09859,1.8382292,607.76556,9.3331671,276.82126,4.3322935,1526.365,21.4629,1704.387,26.684681
19264,1,0.0394870354756385,-1.8147966,0.0019145712,0.0017931656,3,21.726515,0.50518328,21.726515,0.50518328,81.360573,1.282222,134.15436,1.7698394,163.25883,2.3493993,170.06264,2.9205577
19840,1,1.08015883074905,-2.2431013,0.0022211222,0.0022427253,3,2.3247449,0.23521046,2.3247449,0.23521046,26.00136,0.41231543,90.973503,1.5371796,144.16336,2.2073603,187.94322,2.5652666
19904,1,1.38586672054771,-2.14666477,0.0021516348,0.0020863551,3,4.46244,0.26573053,4.46244,0.26573053,38.265335,0.58122867,104.08096,1.7532612,160.81693,2.454226,208.08144,2.8243406
20288,1,0.0253476927252464,-1.79584232,0.059019309,0.054650299,3,95.889961,1.5586027,95.889961,1.5586027,727.09808,11.358834,1697.9836,13.658978,2263.6226,31.950508,2539.7659,39.807796
20416,1,0.937758275745076,-2.15832058,5.9978763E-4,5.3137075E-4,3,141.99237,1.6341418,141.99237,1.6341418,632.54846,9.7865353,1155.3066,17.081593,1447.2281,2.1229031,1572.0228,22.108723
21184,1,0.334318531483379,-2.17575089,0.0024873258,0.0023458009,3,15.71011,0.4145855,15.71011,0.4145855,53.43977,0.47833088,82.226547,0.92639863,95.342072,1.4007677,102.47982,2.4172649
21248,1,0.335446436450679,-2.1615688,0.0016864497,0.0016087256,3,8.7636747,0.32576609,8.7636747,0.32576609,64.496407,0.56234473,151.34926,1.651571,212.65752,3.0487237,254.60756,5.4844971
21376,1,0.684297475204557,-2.15003697,0.0018292462,0.0017377913,3,24.166355,0.49823633,24.166355,0.49823633,84.109131,1.3306334,132.41103,1.9947884,159.18478,2.29896,163.90147,2.6625612
21504,1,0.380402332892138,-1.76874272,0.063489817,0.059661981,3,1761.2976,31.179667,1761.2976,31.179667,5116.123,2.3052981,7293.9194,2.8534067,2272.7603,2.2210763,8275.54,142.32695
21632,1,0.383342958543761,-1.87408558,0.002298045,0.0022221142,3,7.3844419,0.29981172,7.3844419,0.29981172,47.932411,0.61061841,100.82638,1.3630342,134.56491,2.4822991,152.70142,2.8833535
261952,1,0.7985401264633,-0.76337928,0.0032639862,0.0031917389,3,2.63451,0.32853824,2.63451,0.32853824,27.565683,0.83545166,98.526077,1.6745932,195.07272,3.4164133,278.89484,5.0049448
262016,1,1.09973634278893,-0.7915985,0.0057403394,0.00568124,3,7.9012709,0.39277542,7.9012709,0.39277542,26.529779,0.80693722,43.093834,0.76950675,52.599735,0.97248846,54.995079,1.3511046
262080,1,1.88348288453272,-1.55739898,0.06545262,0.066109627,3,182.5265,6.2029295,182.5265,6.2029295,771.4411,21.865988,680.95032,1.217708,1757.3171,25.021606,1928.0763,42.052574
262208,1,1.87631259515229,-1.533992,0.0020122926,0.0020435476,3,3.286206,0.23607318,3.286206,0.23607318,35.190807,1.0183347,129.62389,2.1314116,237.45108,3.4310417,329.00946,7.3193812
262272,1,2.03269128662754,-2.09298626,5.2482507E-4,5.3097203E-4,3,71.793243,1.4856906,71.793243,1.4856906,692.12939,9.5320263,1919.0859,18.661345,2811.4519,2.188839,3374.052,50.519981
262336,1,2.78578268304582,-2.2298137,0.056251541,0.049873449,3,1091.3396,35.942039,1091.3396,35.942039,4074.6257,1.988669,6119.3696,2.6838505,6916.6934,3.2075675,7032.311,121.20395
262400,1,2.79794807203086,-2.2172672,0.056249771,0.04987172,3,721.68518,23.800964,721.68518,23.800964,2366.5635,1.6667801,7529.3174,2.9871514,9376.791,3.6874268,10289.01,177.21362
262464,1,2.8080992971423,-2.2148811,0.004787595,0.0047381003,3,3.2186069,0.33745673,3.2186069,0.33745673,21.302452,0.42547002,40.720398,0.59398419,64.59153,1.2069762,89.290062,2.0355709
262656,1,0.67712710541838,-1.46759624,0.0015558158,0.0016237915,3,36.415154,0.71726191,36.415154,0.71726191,141.87933,2.3349705,232.76707,3.7606211,265.85843,3.8570387,286.24368,6.299408
262912,1,1.61266020581711,-2.10765282,0.0077634421,0.0072765653,3,1.77614,0.26543519,1.77614,0.26543519,10.143294,0.25798133,36.088318,0.55198097,54.697372,0.79404247,75.862297,1.7529972
262976,1,0.676965999110407,-1.4457838,0.0019657125,0.0020395112,3,31.139187,0.64506787,31.139187,0.64506787,100.23652,1.6686958,147.34818,2.3949847,164.34409,2.4076962,175.05804,3.9441366
263040,1,0.829356646115936,-1.48219604,0.0043451535,0.0044686752,3,5.5960851,0.27810907,5.5960851,0.27810907,22.574755,0.40287316,37.943829,0.6615684,45.260937,0.73748016,50.082825,1.3489088
263168,1,1.4524948862595,-2.03866306,0.0011458978,0.0010720479,3,45.651917,0.9024117,45.651917,0.9024117,300.61108,6.6833215,603.28131,8.2503872,775.58978,10.142841,837.29395,14.307221
263360,1,1.37442640375525,-1.82258145,0.003270084,0.0032967078,3,9.5806236,0.30689347,9.5806236,0.30689347,32.13509,0.53334504,55.048153,0.65525132,65.870659,0.86819428,71.254745,1.2001119
263424,1,2.45312528061843,-2.1740934,9.9165994E-4,9.8466908E-4,3,31.645615,0.75020105,31.645615,0.75020105,221.28413,3.0738544,473.82675,4.6512132,643.92529,10.656263,738.8399,11.291829
