global_object_id,field_id,mean_ra,mean_dcl,sigma_ra,sigma_dcl,n_epochs,flux_u,sigma_flux_u,flux_v,sigma_flux_v,flux_g,sigma_flux_g,flux_r,sigma_flux_r,flux_i,sigma_flux_i,flux_z,sigma_flux_z
154240,1,1.83997734689174,-1.03876417,0.0027649167,0.0027290757,3,25.470638,0.64004773,25.470638,0.64004773,73.452827,1.1042856,108.73701,1.9426011,126.10567,1.778217,131.33981,2.3401051
154752,1,0.976268847791024,-1.114381966,0.0013998454,0.0013270179,3,8.5430527,0.39472696,8.5430527,0.39472696,100.64703,1.7496026,377.45425,4.3741164,840.28375,11.563458,1239.4824,22.450951
154880,1,2.10576466952719,-0.9863035,0.0065027215,0.0048997002,3,7.446969,0.4365893,7.446969,0.4365893,28.615343,0.47600332,59.415211,1.2220986,94.937843,1.0010958,132.56087,2.691227
155456,1,1.29418257066368,-1.111560998,0.0037316619,0.0036991555,3,17.352949,0.48310903,17.352949,0.48310903,47.278446,0.60935509,66.924942,0.91111648,82.268623,1.1926494,84.823967,2.1057813
155520,1,1.29949990968615,-1.08449477,0.0029663884,0.0029460879,3,13.183393,0.4371863,13.183393,0.4371863,49.523521,0.63522029,88.339684,1.1810722,111.96799,1.5872316,120.12168,2.6896205
155648,1,0.147808101230026,-1.08220595,0.0032825749,0.0036930335,3,3.2501631,0.332555,3.2501631,0.332555,35.21619,0.7091949,94.018753,2.1615975,137.85725,2.4954965,183.69431,3.4644828
155712,1,0.140718284597835,-1.00409143,0.0057290033,0.0056356066,3,1.20367,0.2790634,1.20367,0.2790634,10.299335,0.25501695,40.920242,0.96086043,90.275635,1.6391219,141.65013,2.7264762
155840,1,0.766354028980447,-0.96269624,0.067787059,0.06243277,3,3984.6169,65.788147,3984.6169,65.788147,11300.01,3.4794238,18941.75,4.8855529,20986.039,5.8137569,21285.1,231.75304
155904,1,0.694247391136298,-1.05118673,0.0016110552,0.0015079421,3,56.939198,1.1279378,56.939198,1.1279378,188.85068,3.5918975,285.9631,4.43116,327.85266,4.9627333,342.09799,4.1621528
155968,1,0.695093366765124,-1.08229655,0.0030520905,0.0028452673,3,1.5879821,0.31616506,1.5879821,0.31616506,22.125782,0.47101659,88.268082,1.4063543,161.15857,2.4802368,231.62578,3.017391
156032,1,0.606188682620918,-0.93435687,0.0017265598,0.0016974972,3,4.4783511,0.31993312,4.4783511,0.31993312,60.687222,1.1795808,220.22342,3.4214289,606.17688,9.1268082,1054.0508,11.823964
156096,1,0.77098660588972,-0.97302263,0.0034712949,0.0033292316,3,13.578807,0.449002,13.578807,0.449002,42.118629,0.83264381,67.177887,1.0779837,78.755646,1.2466387,84.945267,1.593958
156160,1,0.700450962263149,-0.91693038,0.004956637,0.0047382754,3,0.82769698,0.35802051,0.82769698,0.35802051,10.92402,0.2658236,36.207222,0.60838836,105.4459,1.6421114,187.1282,2.5589178
156224,1,1.07081311037556,-0.94667833,5.8174535E-4,5.740833E-4,3,206.98581,4.3771744,206.98581,4.3771744,976.3045,16.65008,1690.5714,19.398874,2130.9211,29.236454,2314.8005,41.707367
156288,1,1.14215439274965,-1.02155702,0.0011744285,0.0011553863,3,10.962299,0.4250896,10.962299,0.4250896,134.58812,2.3268213,456.03003,5.2687068,809.51691,11.141494,1098.3774,19.923307
156352,1,1.14960671867622,-1.04216879,0.0034497925,0.0034898147,3,15.778312,0.52534634,15.778312,0.52534634,47.085835,0.84122533,68.595879,0.8477627,80.539696,1.1792133,86.516762,2.049964
156416,1,1.60174338401839,-1.08099097,0.0028586232,0.0027097613,3,5.8203521,0.36794204,5.8203521,0.36794204,38.391472,0.52275592,98.098274,1.3054218,134.69099,1.8933656,157.60886,3.3387167
156480,1,1.60230748391257,-0.93880289,0.0051779272,0.0049694912,3,6.6249118,0.33110183,6.6249118,0.33110183,22.459667,0.34531885,36.950684,0.559174,45.28112,0.74761367,49.000622,1.5235567
156544,1,1.7526839670445,-0.93732566,0.0014378707,0.0014228885,3,8.4122553,0.40453991,8.4122553,0.40453991,100.04922,1.485707,323.82635,5.7030306,515.21393,7.0351048,656.84766,9.62607
156608,1,1.90535659699233,-1.091569123,0.0053042695,0.0054786061,3,9.2034359,0.42194381,9.2034359,0.42194381,26.841339,0.44388133,40.878155,0.76562095,48.072777,0.74882549,53.251545,1.4293432
156672,1,2.04046593237771,-0.9854862,0.0032799751,0.0032598272,3,2.3144469,0.3184675,2.3144469,0.3184675,23.800594,0.4026452,81.045364,1.4575247,154.7744,2.162128,225.24922,3.6017158
156736,1,1.46316984758191,-0.92005176,0.0036770287,0.0036028861,3,6.921771,0.3627671,6.921771,0.3627671,32.986874,0.44989941,61.332161,0.83835757,78.121391,1.1352544,88.118286,2.1062622
156800,1,0.430836674664039,-1.67254943,0.0022773291,0.0021601857,3,54.516838,2.0880103,54.516838,2.0880103,161.52032,2.167938,228.10704,6.8392158,270.53043,3.9170535,284.89215,4.9656081
156864,1,0.430514408444263,-1.62324638,8.6934905E-4,8.2541426E-4,3,330.95587,12.125108,330.95587,12.125108,944.85706,12.467554,1289.6075,38.557281,1471.652,20.984333,1488.3326,24.318314
156928,1,0.580890945180024,-1.54160327,0.0062519629,0.0059197592,3,0.89027601,0.32376277,0.89027601,0.32376277,13.353728,0.24704641,48.119152,1.4740126,102.74139,1.5593207,151.84158,3.1697035
456768,1,1.95397819127799,-0.84869308,6.220566E-4,6.1484281E-4,3,82.417351,1.2422628,82.417351,1.2422628,775.53931,13.5579,1992.8009,26.565105,2782.6814,22.024385,3267.7419,62.620869
457408,1,0.0661544043505787,-2.0521566,0.0074738702,0.0068257172,3,1.736771,0.38464326,1.736771,0.38464326,16.26169,0.33941633,47.638977,1.00365,71.146309,0.91193098,88.075867,3.0676577
