global_object_id,field_id,mean_ra,mean_dcl,sigma_ra,sigma_dcl,n_epochs,flux_u,sigma_flux_u,flux_v,sigma_flux_v,flux_g,sigma_flux_g,flux_r,sigma_flux_r,flux_i,sigma_flux_i,flux_z,sigma_flux_z
531392,79,178.421812180554,-1.47885913,0.0029174318,0.002687833,3,3.329005,0.28894275,3.329005,0.28894275,27.670588,0.55226529,80.290878,1.8451911,134.57957,2.6625235,173.71121,3.5077572
531456,79,178.573759577497,-1.37469022,0.0033751745,0.0031175502,3,10.426573,0.37022218,10.426573,0.37022218,40.238728,0.99811339,72.178604,1.5683444,88.401199,1.4176599,100.50638,2.039742
531520,79,178.563003969214,-1.48545284,0.048660889,0.04837909,3,4282.0542,42.669113,4282.0542,42.669113,12850.19,3.4914489,17336.82,4.301125,18892.971,5.2720008,18999.34,324.77057
531584,79,179.050348111859,-1.43941135,6.922381E-4,6.5948413E-4,3,287.99576,3.6127224,287.99576,3.6127224,819.39703,18.425167,1190.8497,16.416485,1338.5033,20.791328,1344.424,18.284702
531776,79,180.568454325997,-1.4457447,0.0035208315,0.0033410471,3,18.183622,0.43613499,18.183622,0.43613499,39.021843,0.65523344,52.323734,1.050167,55.712234,1.0171655,57.944706,1.3326311
531840,79,179.054376412805,-1.47442073,0.049979229,0.04736333,3,2066.189,24.366396,2066.189,24.366396,6404.9575,2.4931686,2503.6855,1.8111931,9866.0615,3.8947377,9903.7422,133.0217
531904,79,179.051073210854,-1.33269136,0.0016135236,0.0014858376,3,71.861717,1.0942615,71.861717,1.0942615,184.97774,4.1778879,256.42542,3.5692439,284.86191,4.4673586,298.05688,4.3336358
531968,79,179.054295899853,-1.42517965,0.0038078649,0.00364399,3,3.8991449,0.28362238,3.8991449,0.28362238,22.833397,0.54140264,55.624699,0.81532878,76.847969,1.2542353,91.070854,1.6441877
532032,79,179.202617989438,-1.4069969,0.0030920734,0.0029550714,3,1.509684,0.25424993,1.509684,0.25424993,19.339554,0.46490952,74.688072,1.0746645,261.57748,4.1050544,514.25763,7.1923833
532096,79,180.743202138396,-1.50738162,0.0045809457,0.0042701862,3,1.033932,0.22933526,1.033932,0.22933526,10.253086,0.21359666,38.421696,0.78279811,87.649506,1.5587333,141.52876,2.5170717
532288,79,179.628852721781,-1.32601087,0.0012635415,0.0011683432,3,63.78302,1.4031209,63.78302,1.4031209,233.4483,4.8933845,394.85696,6.0773711,466.68323,8.457283,533.09875,7.143404
532480,79,178.903758203206,-1.33836286,0.0016679973,0.0015037669,3,42.871944,0.70353538,42.871944,0.70353538,172.06348,4.1844668,273.93207,5.8603926,336.51477,5.2120814,365.14169,6.4880376
532544,79,178.748708806283,-1.41829031,0.0031215467,0.0029492199,3,11.649788,0.37505874,11.649788,0.37505874,45.11974,1.1148646,78.548378,1.7034811,95.126541,1.5191797,104.08162,2.11619
532608,79,180.646039462775,-1.86376396,0.0046126531,0.0035291293,3,5.9239631,0.2708787,5.9239631,0.2708787,31.267088,0.50632954,62.687557,1.2029897,86.495903,1.324609,114.21499,2.2416961
532672,79,180.647409094209,-1.77482334,0.0015331863,0.0015806959,3,10.141173,0.33221012,10.141173,0.33221012,80.267845,1.2294191,198.98068,3.737828,273.63452,4.0483842,326.75186,5.8553672
532864,79,179.694876557925,-1.86973587,0.0038203208,0.0034662667,3,18.22369,0.48322356,18.22369,0.48322356,39.988853,0.68608248,52.834248,0.94127584,57.884979,0.79985511,58.692036,1.1440884
533312,79,179.514569760443,-1.46900768,0.0016501109,0.0015973045,3,6.2254281,0.32318565,6.2254281,0.32318565,66.128662,1.4050612,241.48434,3.7305641,772.75629,13.975492,1390.2245,18.067059
533376,79,179.519524603572,-1.51016158,0.0041603395,0.0040832385,3,10.009246,0.38951716,10.009246,0.38951716,29.37396,0.64165914,45.243126,0.73936248,52.727833,1.0080112,54.552586,1.1626438
712320,79,179.440005896277,-0.27454582,5.3381937E-4,4.92436E-4,3,701.32318,12.63924,701.32318,12.63924,2232.1079,40.131893,3275.2344,71.535698,3879.1558,92.492531,4209.9248,72.217903
712704,79,178.24472791126,-0.73760432,0.0023341561,0.0022275667,3,44.250896,1.1163447,44.250896,1.1163447,140.16789,2.677897,216.35843,4.1935816,279.30005,3.8115501,309.16977,3.6007814
713024,79,178.159891811338,-0.50339237,0.0032605988,0.0031351554,3,20.301743,0.63221544,20.301743,0.63221544,82.733246,1.8333014,133.38187,2.0874369,158.65311,2.8144457,167.50177,3.3097346
713088,79,178.621454790411,-0.36418453,0.002730899,0.0025952237,3,4.7692428,0.36664337,4.7692428,0.36664337,48.608486,0.73566592,153.25696,3.0019205,248.73047,4.5292478,335.11154,5.5165329
713152,79,178.617426462664,-0.43305412,0.0046595708,0.0044802832,3,1.639547,0.32801154,1.639547,0.32801154,17.902739,0.31656027,65.338165,1.3081063,148.41011,2.7273583,232.10008,3.9321959
713664,79,178.402435736476,-0.2009708,0.0015396548,0.001464143,3,8.8337154,0.38563153,8.8337154,0.38563153,95.96154,2.1417744,336.02127,7.1328564,777.27814,16.889841,1204.4026,27.190683
713728,79,178.404047067575,-0.20222202,0.0018527858,0.0017641445,3,6.700634,0.35269684,6.700634,0.35269684,65.241257,2.5432782,231.66753,10.41661,673.80096,23.365877,1175.333,36.769566
713856,79,178.72852701828,-0.28890625,0.0010033322,9.2626561E-4,3,20.526386,0.55862468,20.526386,0.55862468,199.18655,3.6734431,752.83484,12.940394,1512.8828,23.240128,2275.5208,36.89986
