new_object_id,mean_epoch,ra,dcl,pi,sigma_pi,mu_x,mu_y,sigma_mu_x,sigma_mu_y,mean_u,mean_v,mean_g,mean_r,mean_i,mean_z,sigma_u,sigma_v,sigma_g,sigma_r,sigma_i,sigma_z,petro_u,petro_v,petro_g,petro_r,petro_i,petro_z,petro_sigma_u,petro_sigma_v,petro_sigma_g,petro_sigma_r,petro_sigma_i,petro_sigma_z,variability,transient,a,b,theta,sigma_a,sigma_b,sigma_theta,radius_frac_20,radius_frac_90,class_star,class_desc,field_id_1,object_id_1,field_id_2,object_id_2,field_id_3,object_id_3,field_id_4,object_id_4
12411180,1,178.340077598176,-2.06186978,9.9999997E-5,0.0099999998,9.9999997E-5,9.9999997E-5,0.0099999998,0.0099999998,1.7597719,1.7597719,7.16748,14.532599,20.080711,23.668119,0.36335242,0.36335242,0.21858858,0.3558875,0.51376617,1.6149632,1.810138,1.810138,6.9860592,13.190043,17.645422,19.969971,0.62083185,0.62083185,0.28933826,0.48871863,0.74875492,3.176733,1.2226329E-40,false,0.52087563,4.1694732,138.5551,0.030037133,0.2404394,5.0,0.725061,1.623638,0.99000001," 'Star'   ",1,44512,0,0,0,0,0,0
17294883,1,178.32215194173,-2.03858296,9.9999997E-5,0.0099999998,9.9999997E-5,9.9999997E-5,0.0099999998,0.0099999998,0.51239097,0.51239097,2.4192841,13.205224,23.449903,32.365288,0.3619467,0.3619467,0.16165124,0.42643198,0.72377944,1.7085383,2.8766401,2.8766401,3.897445,22.098261,38.896004,61.926929,1.4745671,1.4745671,0.47844487,0.99593836,1.6258208,5.9476414,1.2226329E-40,false,1.987025,3.7334096,103.3709,0.1991643,0.37420863,5.0,1.320911,3.5536461,0.0099999998," 'Galaxy' ",1,130191,0,0,0,0,0,0
17295282,1,178.320862769643,-2.01449982,9.9999997E-5,0.0099999998,9.9999997E-5,9.9999997E-5,0.0099999998,0.0099999998,-0.22646099,-0.22646099,0.186398,0.915497,4.0980768,9.1636372,0.35743815,0.35743815,0.14666304,0.22103973,0.40515921,1.5256884,3.016643,3.016643,0.097687997,-1.051402,5.3085728,7.713758,1.5315067,1.5315067,0.63627744,1.1836293,1.1288444,7.8451281,1.2226329E-40,false,1.0654287,8.2789688,45.699883,-358.73529,-2787.5708,5.0,-9999.0,-9999.0,0.0099999998," 'Galaxy' ",1,130198,0,0,0,0,0,0
18937053,1,178.369927426377,-2.03675476,9.9999997E-5,0.0099999998,9.9999997E-5,9.9999997E-5,0.0099999998,0.0099999998,-0.31858,-0.31858,0.063511997,0.060159001,0.26003399,7.2558389,0.34644258,0.34644258,0.15124674,0.22696036,0.39948553,1.5468427,-0.12781499,-0.12781499,-0.0061987159,-0.082369,0.085786998,2.6939521,0.24897999,0.24897999,0.10922706,0.19799802,0.31136382,1.383805,1.2226329E-40,false,1.0292368,20.420961,60.735756,-224.50166,-4454.3101,5.0,-9999.0,-9999.0,0.99000001," 'Star'   ",1,159001,0,0,0,0,0,0
18937680,1,178.370289788261,-2.07137028,9.9999997E-5,0.0099999998,9.9999997E-5,9.9999997E-5,0.0099999998,0.0099999998,0.62365103,0.62365103,1.695384,5.383018,8.8050566,12.829737,0.3475228,0.3475228,0.15418762,0.25284606,0.4167628,1.5464135,0.44497201,0.44497201,2.0581801,4.8346462,7.3678918,11.427187,0.59835815,0.59835815,0.30033901,0.46674088,0.7118305,3.1922987,1.2226329E-40,false,0.3960987,5.1959634,103.48447,0.051341061,0.67348439,5.0,0.70826101,1.465199,0.99000001," 'Star'   ",1,159012,0,0,0,0,0,0
11425650,1,178.237436718443,-2.14432541,9.9999997E-5,0.0099999998,9.9999997E-5,9.9999997E-5,0.0099999998,0.0099999998,0.160391,0.160391,0.37747699,0.87436599,3.93888,8.3048563,0.34658161,0.34658161,0.15203688,0.23467708,0.3902142,1.4337157,-1.2837451,-1.2837451,0.342195,1.6117769,3.5968189,7.3074389,2.4764009,2.4764009,0.30677509,0.5199253,0.80410928,3.5784416,1.2226329E-40,false,1.3281691,6.6412106,77.265121,-447.20129,-2236.1294,5.0,1.5365241,2.4433291,0.0099999998," 'Galaxy' ",1,27222,0,0,0,0,0,0
11427246,1,178.392606938396,-1.9931337,9.9999997E-5,0.0099999998,9.9999997E-5,9.9999997E-5,0.0099999998,0.0099999998,4.7412572,4.7412572,16.549313,26.934267,46.113503,55.652702,0.41110584,0.41110584,0.37185222,0.5342316,0.83673483,1.9475203,17.629992,17.629992,72.181435,138.86192,196.33989,232.71945,2.366627,2.366627,1.0315535,1.8550067,2.824656,12.080923,1.2226329E-40,false,3.9836142,7.9881096,54.802319,0.16825986,0.33740172,5.0,2.6630261,5.9389572,0.0099999998," 'Galaxy' ",1,27250,0,0,0,0,0,0
11491542,1,178.325213256403,-1.99725548,9.9999997E-5,0.0099999998,9.9999997E-5,9.9999997E-5,0.0099999998,0.0099999998,0.414029,0.414029,0.308431,1.156162,4.2113118,9.2161331,0.36492112,0.36492112,0.20582619,0.23297442,0.43001804,1.536227,13.161333,13.161333,2.4601469,12.492431,-10.096678,36.2556,5.7890577,5.7890577,2.4152546,2.9774303,7.2754698,29.834455,1.2226329E-40,false,16.304726,47.815426,19.84511,-583.94604,-1712.4869,5.0,9.9180412,16.481066,0.0099999998," 'Galaxy' ",1,28378,0,0,0,0,0,0
11643162,1,178.400059210719,-2.05271927,9.9999997E-5,0.0099999998,9.9999997E-5,9.9999997E-5,0.0099999998,0.0099999998,0.27661499,0.27661499,0.36150801,0.488662,1.925141,0.097075999,0.34769177,0.34769177,0.17905101,0.2275878,0.39272234,1.5021926,0.088243,0.088243,0.22560699,0.44594601,2.034636,-0.005630957,0.87236124,0.87236124,0.36962712,0.68816215,1.0568935,4.4937129,1.2226329E-40,false,0.66416496,13.283299,147.61363,-223.6068,-4472.1357,5.0,1.430133,1.959729,0.0099999998," 'Galaxy' ",1,31038,0,0,0,0,0,0
11658495,1,178.239974591726,-2.14238182,9.9999997E-5,0.0099999998,9.9999997E-5,9.9999997E-5,0.0099999998,0.0099999998,0.15950599,0.15950599,0.77987599,1.768841,2.2434499,1.952345,0.34658036,0.34658036,0.15391307,0.24013285,0.37909594,1.4087064,-0.27721801,-0.27721801,0.88647699,1.5944591,2.9363611,5.976171,0.65691936,0.65691936,0.28034943,0.51428908,0.78220761,3.5990322,1.2226329E-40,false,0.49681568,5.0775785,45.31609,0.07794866,0.79665446,5.0,0.783602,1.241483,0.0099999998," 'Galaxy' ",1,31307,0,0,0,0,0,0
11658552,1,178.243720695313,-2.15625111,9.9999997E-5,0.0099999998,9.9999997E-5,9.9999997E-5,0.0099999998,0.0099999998,0.133735,0.133735,0.52592099,2.25932,5.1273441,6.2049441,0.34435862,0.34435862,0.15147112,0.24380343,0.39895183,1.4147427,-1.9844511,-1.9844511,0.30741701,2.819855,8.9891195,8.9473553,1.0368268,1.0368268,0.39812788,0.74798352,1.315506,5.3325181,1.2226329E-40,false,0.52943003,10.5886,27.660461,0.097487874,1.9497573,5.0,1.0303119,1.897085,0.0099999998," 'Galaxy' ",1,31308,0,0,0,0,0,0
11661345,1,178.390431426997,-1.99641148,9.9999997E-5,0.0099999998,9.9999997E-5,9.9999997E-5,0.0099999998,0.0099999998,0.60218602,0.60218602,1.400322,2.8401611,3.98737,6.0864072,0.36250985,0.36250985,0.14994165,0.23331909,0.3932564,1.52213,0.71539003,0.71539003,0.81657797,3.7330589,3.7983871,9.8523798,0.95489949,0.95489949,0.41908383,0.7470504,1.1290336,4.9976268,1.2226329E-40,false,0.96816778,6.0904851,147.51648,0.20120382,1.2657194,5.0,1.049616,2.243448,0.0099999998," 'Galaxy' ",1,31357,0,0,0,0,0,0
11661402,1,178.397319787039,-2.06389538,9.9999997E-5,0.0099999998,9.9999997E-5,9.9999997E-5,0.0099999998,0.0099999998,1.473749,1.473749,1.457477,1.383702,1.326589,2.9100361,0.35798258,0.35798258,0.22716852,0.2278223,0.3833586,1.5095547,4.4381061,4.4381061,3.921319,3.4402781,7.9475002,15.295577,1.5349705,1.5349705,0.63892287,0.73995268,1.8106229,7.8598967,1.2226329E-40,false,5.5067649,9.8365469,120.75674,-748.21588,-1336.5126,5.0,1.669582,4.1401219,0.0099999998," 'Galaxy' ",1,31358,0,0,0,0,0,0
11664594,1,178.391196889675,-2.00017277,9.9999997E-5,0.0099999998,9.9999997E-5,9.9999997E-5,0.0099999998,0.0099999998,0.300358,0.300358,0.19113401,1.755742,6.0924559,10.031241,0.35880437,0.35880437,0.14362761,0.22776613,0.40279859,1.5399512,-0.036795001,-0.036795001,0.045922998,2.2432251,9.2197056,3.384371,0.97420919,0.97420919,0.3623009,0.67662436,1.059041,4.3266535,1.2226329E-40,false,0.4541465,9.0829296,96.034279,0.11843491,2.3686981,5.0,0.96972299,2.956336,0.0099999998," 'Galaxy' ",1,31414,0,0,0,0,0,0
11738979,1,178.234093179611,-2.13561169,9.9999997E-5,0.0099999998,9.9999997E-5,9.9999997E-5,0.0099999998,0.0099999998,-0.095468998,-0.095468998,0.219456,1.531616,3.800941,8.4677849,0.34977627,0.34977627,0.1522519,0.23893222,0.39018983,1.4388653,0.40365401,0.40365401,-0.41414899,1.998919,5.5537262,10.760146,0.97438633,0.97438633,0.9462288,0.75414866,1.133813,4.9826531,1.2226329E-40,false,1.1128966,5.5247598,45.944744,0.22069301,1.0955877,5.0,1.038476,1.800477,0.0099999998," 'Galaxy' ",1,32719,0,0,0,0,0,0
11740290,1,178.382294365759,-2.00857655,9.9999997E-5,0.0099999998,9.9999997E-5,9.9999997E-5,0.0099999998,0.0099999998,2.9978459,2.9978459,6.1661658,9.9235945,14.406425,15.810767,0.38715395,0.38715395,0.20222047,0.29729229,0.46094701,1.5699496,3.275249,3.275249,10.559395,16.612148,25.590479,21.229895,1.0627047,1.0627047,0.45554686,0.82081002,1.2490587,5.3888979,1.2226329E-40,false,1.6164141,3.915817,53.996346,0.069557697,0.16850583,5.0,1.212595,2.264724,0.0099999998," 'Galaxy' ",1,32742,0,0,0,0,0,0
